t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
1.245000000000000107e+00,3.884247112701800120e+01,1.137044247112700214e+04,4.987228447518860519e-01,6.210136609164788185e-02,6.210136609164786797e-02
1.252500000000000169e+00,3.955859691768987574e+01,1.145095859691767328e+04,4.917286472220902538e-01,6.201216499279863653e-02,6.201216499279862265e-02
1.260000000000000009e+00,4.027305649962580247e+01,1.153147305649960799e+04,4.850061468358594086e-01,6.191732806971939757e-02,6.191732806971941144e-02
1.267500000000000071e+00,4.098585850028639754e+01,1.161198585850026757e+04,4.780781573237246063e-01,6.181696427342135702e-02,6.181696427342137090e-02
1.275000000000000133e+00,4.169688497590161802e+01,1.169249688497588249e+04,4.713179691715040365e-01,6.171161541327194883e-02,6.171161541327193495e-02
1.282500000000000195e+00,4.240634152704528503e+01,1.177300634152702514e+04,4.645266532439530915e-01,6.160065129448934196e-02,6.160065129448934196e-02
1.290000000000000036e+00,4.311421197921119131e+01,1.185351421197919080e+04,4.578358010306912695e-01,6.148425723128746884e-02,6.148425723128747578e-02
1.297500000000000098e+00,4.382053769817726163e+01,1.193402053769815575e+04,4.512548127533795861e-01,6.136244923944315921e-02,6.136244923944315227e-02
1.305000000000000160e+00,4.452523337729166286e+01,1.201452523337726961e+04,4.447540488439873929e-01,6.123550576508077908e-02,6.123550576508077908e-02
1.312500000000000000e+00,4.522842945975360607e+01,1.209502842945973134e+04,4.384566848656211158e-01,6.110327004020688763e-02,6.110327004020689456e-02
1.320000000000000062e+00,4.593018009116143219e+01,1.217553018009113839e+04,4.322688507255779689e-01,6.096545987931840244e-02,6.096545987931840244e-02
1.327500000000000124e+00,4.663049412535076499e+01,1.225603049412532710e+04,4.263233495800263784e-01,6.082225821305067837e-02,6.082225821305068530e-02
1.335000000000000187e+00,4.732940530609552354e+01,1.233652940530607157e+04,4.205585268508167940e-01,6.067363527034358439e-02,6.067363527034357745e-02
1.342500000000000027e+00,4.802694805517599974e+01,1.241702694805515057e+04,4.150225539822139376e-01,6.051949465282246282e-02,6.051949465282246976e-02
1.350000000000000089e+00,4.872315669349044498e+01,1.249752315669346353e+04,4.097625941939309069e-01,6.035987704983785535e-02,6.035987704983784841e-02
1.357500000000000151e+00,4.941806864219839923e+01,1.257801806864217178e+04,4.046777290867017429e-01,6.019478183601170013e-02,6.019478183601169319e-02
1.365000000000000213e+00,5.011172493908598824e+01,1.265851172493905869e+04,3.999632870022573616e-01,6.002404417724563346e-02,6.002404417724561264e-02
1.372500000000000053e+00,5.080416930605200321e+01,1.273900416930602296e+04,3.953818503366772763e-01,5.984759330305308017e-02,5.984759330305307323e-02
1.380000000000000115e+00,5.149545386845711192e+01,1.281949545386842874e+04,3.911732951202879782e-01,5.966534143121747513e-02,5.966534143121748901e-02
1.387500000000000178e+00,5.218563296085447689e+01,1.289998563296082466e+04,3.871075766699564324e-01,5.947716826780014704e-02,5.947716826780015398e-02
1.395000000000000018e+00,5.287475327728254371e+01,1.298047475327725260e+04,3.833318106822441451e-01,5.928296159331734871e-02,5.928296159331734871e-02
