t,A,Iuv
2.520000000000000018e+00,8.557294143536686715e-01,5.953724809164287479e-02
2.527500000000000302e+00,8.556541077483602598e-01,5.951925844407587873e-02
2.535000000000000142e+00,8.549927536753331170e-01,5.952583802451797551e-02
2.542500000000000426e+00,8.556429346389782253e-01,5.953977477788494066e-02
2.550000000000000266e+00,8.557337173218143578e-01,5.952881576402355851e-02
2.557500000000000107e+00,8.552214896958303392e-01,5.952066099074296290e-02
2.565000000000000391e+00,8.555093882888241685e-01,5.954054236284838514e-02
2.572500000000000231e+00,8.557710613268587618e-01,5.953651503224634267e-02
2.580000000000000071e+00,8.554122781648905161e-01,5.951409841464459088e-02
2.587500000000000355e+00,8.553274171229958700e-01,5.953962499555631727e-02
2.595000000000000195e+00,8.557649153884866466e-01,5.954230527078381574e-02
2.602500000000000036e+00,8.555640191643320014e-01,5.951911902457350523e-02
2.610000000000000320e+00,8.550956242500570292e-01,5.953709926535065422e-02
2.617500000000000160e+00,8.557140187457030756e-01,5.954622383816917525e-02
2.625000000000000000e+00,8.556755789287828762e-01,5.952980121857021079e-02
2.632500000000000284e+00,8.550473265376293819e-01,5.953304399367349148e-02
2.640000000000000124e+00,8.556170710560038195e-01,5.954833592453281921e-02
2.647500000000000409e+00,8.557457866236606314e-01,5.953894684154108219e-02
2.655000000000000249e+00,8.552676199379258826e-01,5.952754175464543968e-02
2.662500000000000089e+00,8.554727258563687986e-01,5.954872061524451449e-02
2.670000000000000373e+00,8.557734277811804846e-01,5.954622702192893802e-02
2.677500000000000213e+00,8.554496935936513058e-01,5.952114495915425407e-02
2.685000000000000053e+00,8.552795765126961491e-01,5.954747015722084563e-02
2.692500000000000338e+00,8.557572302475983106e-01,5.955164453889557480e-02
2.700000000000000178e+00,8.555924017366608458e-01,5.952992431316515842e-02
2.707500000000000018e+00,8.550361256528922205e-01,5.954469760337560702e-02
2.715000000000000302e+00,8.556958337079968446e-01,5.955529112746984349e-02
2.722500000000000142e+00,8.556945146634350463e-01,5.954052920980757585e-02
2.730000000000000426e+00,8.550996145495660672e-01,5.954055502509321418e-02
2.737500000000000266e+00,8.555877240748892554e-01,5.955732686986309199e-02
2.745000000000000107e+00,8.557546552367759629e-01,5.954967572032651008e-02
2.752500000000000391e+00,8.553108529282564820e-01,5.953526853480746450e-02
2.760000000000000231e+00,8.554310949669605701e-01,5.955801027737243208e-02
2.767500000000000071e+00,8.557711653873831814e-01,5.955738914027296910e-02
2.775000000000000355e+00,8.554828925530857386e-01,5.953213468142799780e-02
2.782500000000000195e+00,8.552235640154037810e-01,5.955776567617387940e-02
2.790000000000000036e+00,8.557418347676178927e-01,5.956409802466922088e-02
2.797500000000000320e+00,8.556137182448532164e-01,5.954475185587378150e-02
2.805000000000000160e+00,8.549616167370625019e-01,5.955728925602834373e-02
2.812500000000000444e+00,8.556633755459691626e-01,5.957059347146394235e-02
2.820000000000000284e+00,8.557003247965900838e-01,5.955901937265398877e-02
2.827500000000000124e+00,8.551404486259088777e-01,5.955768200713909555e-02
2.835000000000000409e+00,8.555304735824493800e-01,5.957813114274417704e-02
2.842500000000000249e+00,8.557378714870956804e-01,5.957484244939461465e-02
2.850000000000000089e+00,8.553317660017345503e-01,5.956056266091817875e-02
2.857500000000000373e+00,8.553342276713609138e-01,5.958850975497811953e-02
